Ref_area;REF_AREA;date;obsValue
United States;USA;1992-01-01;100,0000000000000
Germany;DEU;1992-01-01;100,0000000000000
Europe;EU27;1992-01-01;100,0000000000000
Italy;ITA;1992-01-01;100,0000000000000
France;FRA;1992-01-01;100,0000000000000
United States;USA;1992-02-01;100,8890436966792
Germany;DEU;1992-02-01;101,6861153268028
Europe;EU27;1992-02-01;100,7002730745113
Italy;ITA;1992-02-01;100,0930762172281
France;FRA;1992-02-01;99,3463975607740
United States;USA;1992-03-01;101,9252638137335
Germany;DEU;1992-03-01;98,8326913840482
Europe;EU27;1992-03-01;99,4397608195706
Italy;ITA;1992-03-01;99,9068360577792
France;FRA;1992-03-01;100,3267958379544
United States;USA;1992-04-01;102,4875104454376
Germany;DEU;1992-04-01;98,7029832228724
Europe;EU27;1992-04-01;99,1596541798686
Italy;ITA;1992-04-01;100,0000000000000
France;FRA;1992-04-01;99,3780201868168
United States;USA;1992-05-01;103,0879248288256
Germany;DEU;1992-05-01;97,9247731565959
Europe;EU27;1992-05-01;98,7394877450593
Italy;ITA;1992-05-01;99,7206836233229
France;FRA;1992-05-01;99,6415707726856
United States;USA;1992-06-01;103,4334950638664
Germany;DEU;1992-06-01;96,3683530240427
Europe;EU27;1992-06-01;97,6190482357387
Italy;ITA;1992-06-01;99,5344434638740
France;FRA;1992-06-01;98,4608886883563
United States;USA;1992-07-01;104,3607228651651
Germany;DEU;1992-07-01;94,6822376972399
Europe;EU27;1992-07-01;96,3585359807980
Italy;ITA;1992-07-01;98,1377738554959
France;FRA;1992-07-01;97,9232502290434
United States;USA;1992-08-01;103,8503640981111
Germany;DEU;1992-08-01;95,3307396023407
Europe;EU27;1992-08-01;96,3585359807980
Italy;ITA;1992-08-01;96,4617878704407
France;FRA;1992-08-01;98,2500460669978
United States;USA;1992-09-01;104,0045559278574
Germany;DEU;1992-09-01;94,1634309863889
Europe;EU27;1992-09-01;95,0980366763700
Italy;ITA;1992-09-01;95,4375985809605
France;FRA;1992-09-01;96,6793121293114
United States;USA;1992-10-01;104,6066056048051
Germany;DEU;1992-10-01;94,0337228252131
Europe;EU27;1992-10-01;95,2380964714774
Italy;ITA;1992-10-01;96,0893952765355
France;FRA;1992-10-01;97,0482678808837
United States;USA;1992-11-01;104,9851270050743
Germany;DEU;1992-11-01;92,6069978869097
Europe;EU27;1992-11-01;94,8179300366681
Italy;ITA;1992-11-01;97,2066607832438
France;FRA;1992-11-01;96,5106401848880
United States;USA;1992-12-01;104,9276954952568
Germany;DEU;1992-12-01;91,1802859155324
Europe;EU27;1992-12-01;93,1372513469181
Italy;ITA;1992-12-01;95,3445223637324
France;FRA;1992-12-01;94,8977355702664
United States;USA;1993-01-01;105,9228043322197
Germany;DEU;1993-01-01;90,2723676880801
Europe;EU27;1993-01-01;93,4173579866200
Italy;ITA;1993-01-01;97,3929009426928
France;FRA;1993-01-01;95,1191154792001
United States;USA;1993-02-01;106,2055465886959
Germany;DEU;1993-02-01;88,7159605224530
Europe;EU27;1993-02-01;92,1568586821921
Italy;ITA;1993-02-01;96,5549518126615
France;FRA;1993-02-01;94,2652292328252
United States;USA;1993-03-01;106,0141681834014
Germany;DEU;1993-03-01;88,8456557167027
Europe;EU27;1993-03-01;92,0168118375974
Italy;ITA;1993-03-01;96,1824714937636
France;FRA;1993-03-01;93,8224694149577
United States;USA;1993-04-01;106,5274704788630
Germany;DEU;1993-04-01;88,1971538116020
Europe;EU27;1993-04-01;91,7366792968701
Italy;ITA;1993-04-01;95,6238387404095
France;FRA;1993-04-01;93,8119321273826
United States;USA;1993-05-01;106,3917247604704
Germany;DEU;1993-05-01;88,3268490058517
Europe;EU27;1993-05-01;91,5966324522754
Italy;ITA;1993-05-01;95,0651182620626
France;FRA;1993-05-01;93,4640401876434
United States;USA;1993-06-01;106,2721193895122
Germany;DEU;1993-06-01;87,6783471007509
Europe;EU27;1993-06-01;90,8963464272514
Italy;ITA;1993-06-01;94,6927256681574
France;FRA;1993-06-01;92,4731153862050
United States;USA;1993-07-01;106,4927204907189
Germany;DEU;1993-07-01;85,9922188070221
Europe;EU27;1993-07-01;90,4761799924421
Italy;ITA;1993-07-01;94,2271691320314
France;FRA;1993-07-01;94,0333120363163
United States;USA;1993-08-01;106,2647769214290
Germany;DEU;1993-08-01;89,4941705887296
Europe;EU27;1993-08-01;91,8767390919774
Italy;ITA;1993-08-01;94,3202453492595
France;FRA;1993-08-01;93,2321229911345
United States;USA;1993-09-01;107,0136759600400
Germany;DEU;1993-09-01;88,5862523612772
Europe;EU27;1993-09-01;91,8767390919774
Italy;ITA;1993-09-01;95,0651182620626
France;FRA;1993-09-01;93,5589188290889
United States;USA;1993-10-01;107,8994490695997
Germany;DEU;1993-10-01;89,1050590721283
Europe;EU27;1993-10-01;92,1568586821921
Italy;ITA;1993-10-01;94,7858018853855
France;FRA;1993-10-01;94,0965572884018
United States;USA;1993-11-01;108,4197667744325
Germany;DEU;1993-11-01;88,4565571670275
Europe;EU27;1993-11-01;91,7366792968701
Italy;ITA;1993-11-01;95,8099911748657
France;FRA;1993-11-01;92,2095648003362
United States;USA;1993-12-01;109,0870810173488
Germany;DEU;1993-12-01;89,3644624275538
Europe;EU27;1993-12-01;92,4369782724068
Italy;ITA;1993-12-01;95,5306747981887
France;FRA;1993-12-01;92,5469086891830
United States;USA;1994-01-01;109,1980356853761
Germany;DEU;1994-01-01;89,1050590721283
Europe;EU27;1994-01-01;92,8571447072161
Italy;ITA;1994-01-01;96,5549518126615
France;FRA;1994-01-01;94,5076944802265
United States;USA;1994-02-01;109,3476486931551
Germany;DEU;1994-02-01;90,4020758492558
Europe;EU27;1994-02-01;93,9775842165367
Italy;ITA;1994-02-01;97,6722173193698
France;FRA;1994-02-01;94,0649346623591
United States;USA;1994-03-01;110,7893234954073
Germany;DEU;1994-03-01;89,7535739441551
Europe;EU27;1994-03-01;94,2576908562387
Italy;ITA;1994-03-01;99,1619631449761
France;FRA;1994-03-01;94,6658183737575
United States;USA;1994-04-01;111,7517918729181
Germany;DEU;1994-04-01;91,0505777543566
Europe;EU27;1994-04-01;95,5182031111794
Italy;ITA;1994-04-01;100,8379491300313
France;FRA;1994-04-01;96,0784176545957
United States;USA;1994-05-01;112,4080188254995
Germany;DEU;1994-05-01;90,5317710435056
Europe;EU27;1994-05-01;95,5182031111794
Italy;ITA;1994-05-01;100,7448729128031
France;FRA;1994-05-01;96,9217666133954
United States;USA;1994-06-01;112,7511361202006
Germany;DEU;1994-06-01;91,1802859155324
Europe;EU27;1994-06-01;96,2184761856907
Italy;ITA;1994-06-01;101,7690622022833
France;FRA;1994-06-01;97,2801958407098
United States;USA;1994-07-01;113,1556096292626
Germany;DEU;1994-07-01;90,7911743989311
Europe;EU27;1994-07-01;96,3585359807980
Italy;ITA;1994-07-01;101,9553023617323
France;FRA;1994-07-01;98,3449247084433
United States;USA;1994-08-01;114,1499008194456
Germany;DEU;1994-08-01;90,9208825601069
Europe;EU27;1994-08-01;96,7787024156073
Italy;ITA;1994-08-01;102,1415425211812
France;FRA;1994-08-01;98,8931004553314
United States;USA;1994-09-01;114,6007021950545
Germany;DEU;1994-09-01;91,6990926263834
Europe;EU27;1994-09-01;97,1988818009294
Italy;ITA;1994-09-01;102,6070113323146
France;FRA;1994-09-01;98,4819740268239
United States;USA;1994-10-01;115,6837407667237
Germany;DEU;1994-10-01;93,9040276309634
Europe;EU27;1994-10-01;98,4593811053573
Italy;ITA;1994-10-01;102,3276949556375
France;FRA;1994-10-01;99,7680720401739
United States;USA;1994-11-01;116,6266346803247
Germany;DEU;1994-11-01;94,1634309863889
Europe;EU27;1994-11-01;99,4397608195706
Italy;ITA;1994-11-01;104,0036809406926
France;FRA;1994-11-01;101,3388059778603
United States;USA;1994-12-01;117,9005774221559
Germany;DEU;1994-12-01;94,4228343418144
