date;Iso2c;value
2005-01-01;China;0,0934465073974374
2005-01-01;Europe;0,2397039472275788
2005-01-01;United States;0,2156294472477694
2006-01-01;China;0,1051876775508902
2006-01-01;Europe;0,2359775589965634
2006-01-01;United States;0,2113754309286105
2007-01-01;China;0,1203813302387849
2007-01-01;Europe;0,2437342986833994
2007-01-01;United States;0,1935293622130527
2008-01-01;China;0,1428955462498401
2008-01-01;Europe;0,2403618376265512
2008-01-01;United States;0,1747268246833648
2009-01-01;China;0,1706081724226486
2009-01-01;Europe;0,2160726575899045
2009-01-01;United States;0,1792675743142462
2010-01-01;China;0,1800263447971897
2010-01-01;Europe;0,1970786714601334
2010-01-01;United States;0,1676221544352029
2011-01-01;China;0,2026781654696755
2011-01-01;Europe;0,1953881164475956
2011-01-01;United States;0,1560010635556133
2012-01-01;China;0,2206140825349764
2012-01-01;Europe;0,1751546364232784
2012-01-01;United States;0,1580605300841527
2013-01-01;China;0,2361352905112753
2013-01-01;Europe;0,1778036957180240
2013-01-01;United States;0,1598588125274508
2014-01-01;China;0,2473117849617206
2014-01-01;Europe;0,1787851060391524
2014-01-01;United States;0,1588788310644238
2015-01-01;China;0,2581792117771780
2015-01-01;Europe;0,1672723338598189
2015-01-01;United States;0,1711711267463271
2016-01-01;China;0,2529231100024616
2016-01-01;Europe;0,1712244294359522
2016-01-01;United States;0,1683094629036632
2017-01-01;China;0,2595937718779527
2017-01-01;Europe;0,1694365801603258
2017-01-01;United States;0,1645122769072492
2018-01-01;China;0,2709289038920868
2018-01-01;Europe;0,1699678737018829
2018-01-01;United States;0,1631888343650175
2019-01-01;China;0,2703336125348644
2019-01-01;Europe;0,1662047016376130
2019-01-01;United States;0,1671680790751696
2020-01-01;China;0,2811033100245734
2020-01-01;Europe;0,1640933632307971
2020-01-01;United States;0,1629908876990453
2021-01-01;China;0,3027725233165141
2021-01-01;Europe;0,1587484555120551
2021-01-01;United States;0,1540150142816930
2022-01-01;China;0,2984302665659055
2022-01-01;Europe;0,1561453407547870
2023-01-01;China;0,2833550923259548
2023-01-01;Europe;0,1685019465957485
2024-01-01;China;0,2801143877728368
2024-01-01;Europe;0,1676036132457957
